栅格ID,小区ID,天线水平倾斜角,天线垂直倾斜角,距离,天线高度,RSRP
1003,481367_101498,125890571,4,350,270,25,-108
671,481355_101515,125931787,31,359,209,29,-106
252,481328_101532,125932299,285,26,123,25,-93
1869,481391_101487,125870872,61,7,421,45,-100
1280,481361_101494,125870872,268,97,319,45,-104
2971,481421_101446,125870872,100,166,1525,45,-83
680,481364_101503,125890571,335,352,210,25,-105
2288,481380_101501,125890571,352,347,565,25,-108
509,481354_101514,17854861,34,356,177,26,-97
1405,481386_101482,125870872,82,43,338,45,-102
618,481364_101501,125890571,348,352,198,25,-103
758,481306_101551,125890330,19,359,226,32,-91
841,481365_101504,125890571,331,351,241,25,-103
2996,481389_101424,125870872,135,172,1638,45,-123
2349,481293_101538,125890330,343,354,593,32,-125
188,481360_101500,125890571,355,358,105,25,-81
2176,481371_101515,125890571,310,349,518,25,-99
969,481336_101509,125931787,232,160,264,29,-92
547,481378_101493,125870872,13,9,184,45,-90
1183,481326_101540,125932299,312,349,302,25,-98
134,481312_101550,125890330,19,13,89,32,-83
554,481332_101537,125932299,340,351,186,25,-93
289,481335_101525,125932299,133,148,131,25,-95
1548,481382_101476,125870872,111,156,363,45,-109
3251,481411_101411,17854861,116,164,2901,26,-110
1927,481374_101497,125890571,4,348,433,25,-101
1008,481324_101537,125932299,296,355,271,25,-98
1845,481390_101483,125870872,74,18,415,45,-100
3287,481422_101477,125890330,224,170,3053,32,-111
184,481371_101491,125870872,302,37,104,45,-104
2247,481324_101550,125932299,321,346,547,25,-88
1170,481364_101491,125890571,41,351,299,25,-108
917,481381_101481,125870872,98,126,255,45,-114
1482,481368_101508,125890571,321,350,351,25,-104
2597,481338_101480,17854861,166,164,801,26,-96
1849,481315_101566,125890330,97,142,418,32,-106
2006,481375_101502,125890571,348,348,452,25,-124
2356,481371_101519,125890571,303,349,595,25,-88
736,481314_101558,125890330,88,80,222,32,-122
569,481339_101525,125932299,107,142,189,25,-88
423,481339_101532,125932299,53,358,161,25,-97
3277,481406_101463,125890330,234,169,3006,32,-88
2775,481353_101490,125932299,136,161,1099,25,-87
1169,481360_101509,17854861,67,359,299,26,-99
2119,481337_101528,125931787,299,356,491,29,-86
3344,481438_101445,125890330,230,170,3849,32,-101
2527,481319_101501,17854861,222,163,696,26,-86
2571,481351_101541,125931787,336,352,761,29,-82
101,481356_101503,125890571,278,64,79,25,-96
1815,481321_101542,125932299,301,349,410,25,-87
1237,481321_101536,125932299,284,1,312,25,-95
446,481373_101494,125870872,331,12,165,45,-106
1532,481357_101522,125931787,11,354,360,29,-101
717,481307_101553,125890330,32,0,219,32,-74
1334,481354_101487,125890571,90,97,328,25,-102
956,481358_101514,17854861,43,353,262,26,-95
220,481316_101545,125890330,276,67,113,32,-102
